rank,name,postcode,address,rating,reviewCount,removedRange,removedMin,removedMax,removedEstimate,deletionRatioPct,realRatingAdjusted,removedText,url
1,Wacht am Rhein,51371,,4,2695,über 250,250,,300,10.02,3.699,Über 250 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Wacht+am+Rhein/data=!4m7!3m6!1s0x47bf2ef5a1ad4c4f:0xfb2fe288cc9425cf!8m2!3d51.031939!4d6.968984!16s%2Fg%2F1tmpjnh5!19sChIJT0ytofUuv0cRzyWUzIjiL_s?authuser=0&hl=de&rclk=1
2,Classic Hotel Harmonie,51375,,4.5,944,über 250,250,,300,24.12,3.656,Über 250 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Classic+Hotel+Harmonie/data=!4m10!3m9!1s0x47bf25a46107e7bd:0x1ca9e94880b1fc3d!5m2!4m1!1i2!8m2!3d50.9452736!4d6.9544187!16s%2Fg%2F1tfpnv7p!19sChIJvecHYaQlv0cRPfyxgEjpqRw?authuser=0&hl=de&rclk=1
3,Leoso Hotel Leverkusen,51371,,4,899,über 250,250,,300,25.02,3.249,Über 250 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Leoso+Hotel+Leverkusen/data=!4m10!3m9!1s0x47bf2e9483eef2ef:0x8105706f9008d05f!5m2!4m1!1i2!8m2!3d51.0357255!4d6.9884376!16s%2Fg%2F11fxfw4zn8!19sChIJ7_Lug5Quv0cRX9AIkG9wBYE?authuser=0&hl=de&rclk=1
4,Restaurant Hoettche,51371,,4.6,807,201–250,201,250,225.5,21.84,3.814,201 bis 250 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Restaurant+Hoettche/data=!4m10!3m9!1s0x47bf339acfabefb5:0x21477d839266ef21!5m2!4m1!1i2!8m2!3d51.0965347!4d6.8384146!16s%2Fg%2F1tfp1lkk!19sChIJte-rz5ozv0cRIe9mkoN9RyE?authuser=0&hl=de&rclk=1
5,Steakhouse La Plaza,51379,,4.8,2367,151–200,151,200,175.5,6.9,4.538,151 bis 200 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Steakhouse+La+Plaza/data=!4m7!3m6!1s0x47bf2c17fdf888f5:0xb41fe70bbc1b236e!8m2!3d51.0640424!4d7.0017323!16s%2Fg%2F11b5yzw0b8!19sChIJ9Yj4_Rcsv0cRbiMbvAvnH7Q?authuser=0&hl=de&rclk=1
6,Brauhaus Janes,51371,,4.6,973,151–200,151,200,175.5,15.28,4.05,151 bis 200 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Brauhaus+Janes/data=!4m7!3m6!1s0x47bf2ea326fae9d7:0x7bb91790a983d15f!8m2!3d51.0441484!4d7.0005028!16s%2Fg%2F1tlbhpxn!19sChIJ1-n6JqMuv0cRX9GDqZAXuXs?authuser=0&hl=de&rclk=1
7,Hepsi - Markt Leverkusen,51371,,4.6,964,101–150,101,150,125.5,11.52,4.185,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Hepsi+-+Markt+Leverkusen/data=!4m7!3m6!1s0x47bf2f6c20c0c319:0xcb72931b5c817773!8m2!3d51.0461225!4d6.9936453!16s%2Fg%2F11g0v_s_4g!19sChIJGcPAIGwvv0cRc3eBXBuTcss?authuser=0&hl=de&rclk=1
8,Wiesdorfer Grill Inh. Nikolaos Papageorgiou,51371,,4.6,332,101–150,101,150,125.5,27.43,3.612,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Wiesdorfer+Grill+Inh.+Nikolaos+Papageorgiou/data=!4m7!3m6!1s0x47bf2eed0b4b7253:0x73f6b0084064a345!8m2!3d51.0315074!4d6.981948!16s%2Fg%2F1tf_06lv!19sChIJU3JLC-0uv0cRRaNkQAiw9nM?authuser=0&hl=de&rclk=1
9,Pagode Wang,51371,,4.3,1377,51–100,51,100,75.5,5.2,4.128,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Pagode+Wang/data=!4m7!3m6!1s0x47bf2c043acb9035:0xafdf30fa605a3b6d!8m2!3d51.059707!4d7.0196924!16s%2Fg%2F1td2t0ld!19sChIJNZDLOgQsv0cRbTtaYPow368?authuser=0&hl=de&rclk=1
10,Klinikum Leverkusen,51375,,3.4,913,51–100,51,100,75.5,7.64,3.217,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Klinikum+Leverkusen/data=!4m7!3m6!1s0x47bf2948128a4c9d:0xa30618dd34d17da8!8m2!3d51.0324496!4d7.0331031!16s%2Fg%2F120x5drc!19sChIJnUyKEkgpv0cRqH3RNN0YBqM?authuser=0&hl=de&rclk=1
11,ATU Leverkusen - Manfort,51377,,3.9,806,51–100,51,100,75.5,8.56,3.652,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/ATU+Leverkusen+-+Manfort/data=!4m7!3m6!1s0x47bf2ecce55ca62d:0xc0dbc28b1890101e!8m2!3d51.0246!4d7.01591!16s%2Fg%2F1tjcnl7w!19sChIJLaZc5cwuv0cRHhCQGIvC28A?authuser=0&hl=de&rclk=1
12,Gallodini Leverkusen,51371,,4.6,681,51–100,51,100,75.5,9.98,4.241,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Gallodini+Leverkusen/data=!4m7!3m6!1s0x47bf2d34a1c14557:0xd91ba6b44655915b!8m2!3d51.0642282!4d7.0112994!16s%2Fg%2F11nn092s4j!19sChIJV0XBoTQtv0cRW5FVRrSmG9k?authuser=0&hl=de&rclk=1
13,Malteser Komturei / Hotel / Restaurant / Café,51375,,4.6,595,51–100,51,100,75.5,11.26,4.195,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Malteser+Komturei+%2F+Hotel+%2F+Restaurant+%2F+Caf%C3%A9/data=!4m10!3m9!1s0x47bed6fbeae6675b:0x275197fa2fe13cb2!5m2!4m1!1i2!8m2!3d51.0070479!4d7.1806175!16s%2Fg%2F120p4hj2!19sChIJW2fm6vvWvkcRsjzhL_qXUSc?authuser=0&hl=de&rclk=1
14,Restaurant Haus am Park,51371,,4.7,460,51–100,51,100,75.5,14.1,4.178,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Restaurant+Haus+am+Park/data=!4m7!3m6!1s0x47bf2eb9a0dc11a9:0x76ee67ff5b0999cb!8m2!3d51.0361608!4d7.0047066!16s%2Fg%2F1tf236jj!19sChIJqRHcoLkuv0cRy5kJW_9n7nY?authuser=0&hl=de&rclk=1
15,Akdeniz Grill - Döner & Pizza,51371,,4.4,418,51–100,51,100,75.5,15.3,3.88,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Akdeniz+Grill+-+D%C3%B6ner+%26+Pizza/data=!4m7!3m6!1s0x47bf2eeafb5a4df3:0x7bd3364822163822!8m2!3d51.0314427!4d6.9906792!16s%2Fg%2F1ptzkcd2d!19sChIJ801a--ouv0cRIjgWIkg203s?authuser=0&hl=de&rclk=1
16,Pizzaboy Leverkusen-Manfort,51371,,4.4,392,51–100,51,100,75.5,16.15,3.851,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Pizzaboy+Leverkusen-Manfort/data=!4m7!3m6!1s0x47bf2ec64a6f4297:0xf869f93a371c37d5!8m2!3d51.0297089!4d7.0047189!16s%2Fg%2F1thpvzpq!19sChIJl0JvSsYuv0cR1TccNzr5afg?authuser=0&hl=de&rclk=1
17,Eiscafé Minini,51371,,4.2,287,51–100,51,100,75.5,20.83,3.534,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Eiscaf%C3%A9+Minini/data=!4m7!3m6!1s0x47bf2eeca88fb0bf:0x41cd3329016fe3d7!8m2!3d51.032733!4d6.987653!16s%2Fg%2F1tf74npz!19sChIJv7CPqOwuv0cR1-NvASkzzUE?authuser=0&hl=de&rclk=1
18,Chocolate Haus,51371,,4.8,251,51–100,51,100,75.5,23.12,3.921,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Chocolate+Haus/data=!4m7!3m6!1s0x47bf2fac1ace9021:0xcc92e38deef3160e!8m2!3d51.0325259!4d6.9864687!16s%2Fg%2F11s530c5q6!19sChIJIZDOGqwvv0cRDhbz7o3jksw?authuser=0&hl=de&rclk=1
19,Pizza Cab Leverkusen,51371,,4.6,66,51–100,51,100,75.5,53.36,2.679,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Pizza+Cab+Leverkusen/data=!4m7!3m6!1s0x47bf2d973b46cc19:0xc07bf5274be7122!8m2!3d51.0602348!4d7.0248673!16s%2Fg%2F11wp75nhdx!19sChIJGcxGO5ctv0cRInG-dFK_Bww?authuser=0&hl=de&rclk=1
20,OSTERMANN Einrichtungs-Centrum Leverkusen,51371,,4.6,1619,21–50,21,50,35.5,2.15,4.523,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/OSTERMANN+Einrichtungs-Centrum+Leverkusen/data=!4m7!3m6!1s0x47bf2ee990bae517:0x8ccec1e61d1ccda6!8m2!3d51.0273273!4d6.9894569!16s%2Fg%2F1wk7p_gk!19sChIJF-W6kOkuv0cRps0cHebBzow?authuser=0&hl=de&rclk=1
21,Eiscafé MININI Schlebusch,51371,,4.6,683,21–50,21,50,35.5,4.94,4.422,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Eiscaf%C3%A9+MININI+Schlebusch/data=!4m7!3m6!1s0x47bf296a30ee4d6b:0x80a48981a951393f!8m2!3d51.0342777!4d7.0498327!16s%2Fg%2F11b75n__g7!19sChIJa03uMGopv0cRPzlRqYGJpIA?authuser=0&hl=de&rclk=1
22,"Hotel + Restaurant Am Fuhrkamp, Langenfeld Rheinland",51371,,4.5,600,21–50,21,50,35.5,5.59,4.304,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,"https://www.google.com/maps/place/Hotel+%2B+Restaurant+Am+Fuhrkamp,+Langenfeld+Rheinland/data=!4m10!3m9!1s0x47bf32987ea99fb3:0x2f9509b2c909b9f!5m2!4m1!1i2!8m2!3d51.1208173!4d6.9262043!16s%2Fg%2F1vl5fxt0!19sChIJs5-pfpgyv0cRn5uQLJtQ-QI?authuser=0&hl=de&rclk=1"
23,Cafe Extrablatt Monheim,51371,,4.5,565,21–50,21,50,35.5,5.91,4.293,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Cafe+Extrablatt+Monheim/data=!4m7!3m6!1s0x47bf332060c6de51:0xefa018a9c1a6a6f2!8m2!3d51.0903844!4d6.8888975!16s%2Fg%2F11tdchssnw!19sChIJUd7GYCAzv0cR8qamwakYoO8?authuser=0&hl=de&rclk=1
24,Café Herzhaft,51371,,4.8,434,21–50,21,50,35.5,7.56,4.513,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Caf%C3%A9+Herzhaft/data=!4m7!3m6!1s0x47bf2da5b5916021:0xf53ee3479c7e619c!8m2!3d51.0705801!4d6.9984793!16s%2Fg%2F11jpmp2kc2!19sChIJIWCRtaUtv0cRnGF-nEfjPvU?authuser=0&hl=de&rclk=1
25,Via Gusto Ristorante & Pizzeria,51375,,4.7,418,21–50,21,50,35.5,7.83,4.41,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Via+Gusto+Ristorante+%26+Pizzeria/data=!4m7!3m6!1s0x47bf296a42938b05:0x480ba3d83c98d7b4!8m2!3d51.0333838!4d7.0485747!16s%2Fg%2F1thvrv13!19sChIJBYuTQmopv0cRtNeYPNijC0g?authuser=0&hl=de&rclk=1
26,Aiko Sushi & Grill,51371,,4.8,368,21–50,21,50,35.5,8.8,4.466,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Aiko+Sushi+%26+Grill/data=!4m7!3m6!1s0x47bf295c84c41c5b:0x7beba290c6947c64!8m2!3d51.0335377!4d7.0222877!16s%2Fg%2F11ty10_ltt!19sChIJWxzEhFwpv0cRZHyUxpCi63s?authuser=0&hl=de&rclk=1
27,Bierbörse ®,51373,,4.7,339,21–50,21,50,35.5,9.48,4.349,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Bierb%C3%B6rse+%C2%AE/data=!4m7!3m6!1s0x47bf2d8ece7b52c1:0x5242a6a8a4f0bc23!8m2!3d51.0685484!4d6.9941608!16s%2Fg%2F11fcqd_6bk!19sChIJwVJ7zo4tv0cRI7zwpKimQlI?authuser=0&hl=de&rclk=1
28,Pizzeria Neapel Leverkusen,51371,,4.7,338,21–50,21,50,35.5,9.5,4.348,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Pizzeria+Neapel+Leverkusen/data=!4m7!3m6!1s0x47bf2c0f1648be25:0x16186dbe0689dc94!8m2!3d51.0648258!4d7.0200137!16s%2Fg%2F1tnsr1mf!19sChIJJb5IFg8sv0cRlNyJBr5tGBY?authuser=0&hl=de&rclk=1
29,Hotel Garni Emir,51375,,3.4,266,21–50,21,50,35.5,11.77,3.117,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Hotel+Garni+Emir/data=!4m10!3m9!1s0x47bf25a22d893d4f:0xcd1e22250d3fcb77!5m2!4m1!1i2!8m2!3d50.9493092!4d6.9538916!16s%2Fg%2F11b73hh11k!19sChIJTz2JLaIlv0cRd8s_DSUiHs0?authuser=0&hl=de&rclk=1
30,Pizzeria Bella,51371,,4.8,249,21–50,21,50,35.5,12.48,4.326,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Pizzeria+Bella/data=!4m7!3m6!1s0x47bf2de85bfd8b81:0x2a82c0528f425f03!8m2!3d51.0694742!4d6.9471085!16s%2Fg%2F1tqf_gk4!19sChIJgYv9W-gtv0cRA19Cj1LAgio?authuser=0&hl=de&rclk=1
31,Haven Hotels - Hotel Am Stadion,51371,,4.1,245,21–50,21,50,35.5,12.66,3.708,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Haven+Hotels+-+Hotel+Am+Stadion/data=!4m10!3m9!1s0x47bf2ea3269ae415:0x6ca21979eaf17e1d!5m2!4m1!1i2!8m2!3d51.0440021!4d7.0004183!16s%2Fg%2F1hd_7bd3t!19sChIJFeSaJqMuv0cRHX7x6nkZomw?authuser=0&hl=de&rclk=1
32,Fliegerhütte by FloGourmet,51371,,4.8,234,21–50,21,50,35.5,13.17,4.299,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Fliegerh%C3%BCtte+by+FloGourmet/data=!4m7!3m6!1s0x47bf2f186abe7ca9:0xe454868cbe8b6b89!8m2!3d51.0167964!4d7.0067878!16s%2Fg%2F11y2w8yk08!19sChIJqXy-ahgvv0cRiWuLvoyGVOQ?authuser=0&hl=de&rclk=1
33,Café Nöres - Leverkusen,51371,,4.6,210,21–50,21,50,35.5,14.46,4.079,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Caf%C3%A9+N%C3%B6res+-+Leverkusen/data=!4m7!3m6!1s0x47bf2c3d8a05bfa7:0x48d2d68b48b5cc16!8m2!3d51.0677515!4d7.002654!16s%2Fg%2F1tf9xk7z!19sChIJp78Fij0sv0cRFsy1SIvW0kg?authuser=0&hl=de&rclk=1
34,Elite Friseur,51371,,4.6,161,21–50,21,50,35.5,18.07,3.95,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Elite+Friseur/data=!4m7!3m6!1s0x4171900d2fae7209:0x4cf2fbf7a43b8c7a!8m2!3d51.0315569!4d6.9899008!16s%2Fg%2F1v44d2zw!19sChIJCXKuLw2QcUEReow7pPf78kw?authuser=0&hl=de&rclk=1
35,Hautarzt Ludger UEBERHORST & Dr.med. Kirsten CIRÉ - Dermatologie - Allergologie,51375,,4.6,148,21–50,21,50,35.5,19.35,3.904,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Hautarzt+Ludger+UEBERHORST+%26+Dr.med.+Kirsten+CIR%C3%89+-+Dermatologie+-+Allergologie/data=!4m7!3m6!1s0x47bf2969ee174a21:0x61d3fdea4a517e7d!8m2!3d51.0358848!4d7.0487294!16s%2Fg%2F1tdjq8lp!19sChIJIUoX7mkpv0cRfX5RSur902E?authuser=0&hl=de&rclk=1
36,SMARTY Leichlingen-Cologne Hotel | Boardinghouse,51371,,3.8,147,21–50,21,50,35.5,19.45,3.255,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/SMARTY+Leichlingen-Cologne+Hotel+%7C+Boardinghouse/data=!4m10!3m9!1s0x47bf2c8d5987d7f7:0xe2f1e054ba42704!5m2!4m1!1i2!8m2!3d51.10514!4d7.01309!16s%2Fg%2F11g0mv7gsg!19sChIJ99eHWY0sv0cRBCekSwUeLw4?authuser=0&hl=de&rclk=1
37,Sushi Palace Leverkusen,51371,,4,138,21–50,21,50,35.5,20.46,3.386,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Sushi+Palace+Leverkusen/data=!4m7!3m6!1s0x47bf2d6603efe3c9:0x6ccf84fa4ed6138c!8m2!3d51.0665003!4d7.0000109!16s%2Fg%2F11js7r54p8!19sChIJyePvA2Ytv0cRjBPWTvqEz2w?authuser=0&hl=de&rclk=1
38,Daddy's Pizza Leverkusen,51379,,4.8,101,21–50,21,50,35.5,26.01,3.812,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Daddy%27s+Pizza+Leverkusen/data=!4m7!3m6!1s0x47bf2d1775c49823:0x7e81c0f5245f825e!8m2!3d51.0677898!4d7.0181332!16s%2Fg%2F11tdl6vx32!19sChIJI5jEdRctv0cRXoJfJPXAgX4?authuser=0&hl=de&rclk=1
39,Hotel-Pension Schlafpunkt GmbH - Leverkusen,51371,,4.7,79,21–50,21,50,35.5,31,3.553,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Hotel-Pension+Schlafpunkt+GmbH+-+Leverkusen/data=!4m10!3m9!1s0x47bf2c06c5a01e59:0xb6b91425cdf68bbd!5m2!4m1!1i2!8m2!3d51.0584468!4d7.0225473!16s%2Fg%2F1tg9rt_2!19sChIJWR6gxQYsv0cRvYv2zSUUubY?authuser=0&hl=de&rclk=1
40,THE CLOUTH,51373,,4.4,57,21–50,21,50,35.5,38.38,3.095,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/THE+CLOUTH/data=!4m10!3m9!1s0x47bf2584676fd8ed:0xaaa2c895c3cf9e22!5m2!4m1!1i2!8m2!3d50.9649974!4d6.9598665!16s%2Fg%2F11w8twt918!19sChIJ7dhvZ4Qlv0cRIp7Pw5XIoqo?authuser=0&hl=de&rclk=1
41,Hotel Solinger Hof,51381,,3.9,45,21–50,21,50,35.5,44.1,2.621,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Hotel+Solinger+Hof/data=!4m10!3m9!1s0x47b8d4f38cf6eb5d:0x7df0c87919bca27f!5m2!4m1!1i2!8m2!3d51.1699167!4d7.0860672!16s%2Fg%2F1tfpnst6!19sChIJXev2jPPUuEcRf6K8GXnI8H0?authuser=0&hl=de&rclk=1
42,Der Grieche,51381,,4.7,848,11–20,11,20,15.5,1.8,4.634,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Der+Grieche/data=!4m7!3m6!1s0x47bf2a0d9adba9c7:0x8d9a7260a6b0a035!8m2!3d51.0643053!4d7.1219238!16s%2Fg%2F1tm1plpt!19sChIJx6nbmg0qv0cRNaCwpmBymo0?authuser=0&hl=de&rclk=1
43,Suki,51371,,4.9,359,11–20,11,20,15.5,4.14,4.739,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Suki/data=!4m7!3m6!1s0x47bf2c181ff060c7:0xa3e0ec2abbb95264!8m2!3d51.0646779!4d7.0009807!16s%2Fg%2F1xn_mjgw!19sChIJx2DwHxgsv0cRZFK5uyrs4KM?authuser=0&hl=de&rclk=1
44,Cafe im Dorf,51371,,4.4,358,11–20,11,20,15.5,4.15,4.259,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Cafe+im+Dorf/data=!4m7!3m6!1s0x47bf296a323f2215:0xf4bce7e8c77705c1!8m2!3d51.0341379!4d7.0501553!16s%2Fg%2F1tdd4dg7!19sChIJFSI_Mmopv0cRwQV3x-jnvPQ?authuser=0&hl=de&rclk=1
45,Hotel BÜRGERHOF,51371,,4.4,276,11–20,11,20,15.5,5.32,4.219,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Hotel+B%C3%9CRGERHOF/data=!4m10!3m9!1s0x47bf2f745d748595:0xa9c4353f14872729!5m2!4m1!1i2!8m2!3d50.9900398!4d6.9616643!16s%2Fg%2F11b73l5pxy!19sChIJlYV0XXQvv0cRKSeHFD81xKk?authuser=0&hl=de&rclk=1
46,Invictus Physiotherapie Leverkusen,51379,,4.9,237,11–20,11,20,15.5,6.14,4.661,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Invictus+Physiotherapie+Leverkusen/data=!4m7!3m6!1s0x47bf2d33de9d8c11:0x2e4a46db1f71e0f6!8m2!3d51.0652764!4d6.9892488!16s%2Fg%2F11j8rlwd0t!19sChIJEYyd3jMtv0cR9uBxH9tGSi4?authuser=0&hl=de&rclk=1
47,Hotel Refrather Hof,51375,,4.6,232,11–20,11,20,15.5,6.26,4.375,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Hotel+Refrather+Hof/data=!4m10!3m9!1s0x47bed80184665731:0x88868e11dd442124!5m2!4m1!1i2!8m2!3d50.9610942!4d7.1136289!16s%2Fg%2F1tgn_ydl!19sChIJMVdmhAHYvkcRJCFE3RGOhog?authuser=0&hl=de&rclk=1
